image_id,entity_precision,entity_recall,entity_f1,relation_precision,relation_recall,relation_f1,graph_score,hallucinated_count,missing_count,wrong_relation_count
image_16950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,7,0
image_17233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0
image_17664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
image_17892,0.6667,0.4,0.5,0.0,0.0,0.0,0.25,1,3,0
image_18336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0
image_18917,0.75,0.75,0.75,0.0,0.0,0.0,0.375,1,1,0
image_18946,0.6,0.25,0.3529,0.0,0.0,0.0,0.1764,2,9,2
image_19228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,0
image_19527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
image_19959,0.25,0.1667,0.2,0.0,0.0,0.0,0.1,3,5,0
image_20101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
image_20520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0
image_20713,0.5,0.2,0.2857,0.0,0.0,0.0,0.1429,2,8,0
image_20988,0.1429,0.125,0.1333,0.0,0.0,0.0,0.0667,6,7,0
image_21001,1.0,0.3846,0.5556,1.0,0.1111,0.2,0.3778,0,8,0
image_21626,0.5556,0.3846,0.4545,0.1667,0.0909,0.1176,0.2861,4,8,0
image_22145,0.1111,0.25,0.1538,0.0,0.0,0.0,0.0769,8,3,1
image_22336,1.0,0.2,0.3333,1.0,0.1111,0.2,0.2666,0,8,0
image_22435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0
image_2275,0.3333,0.25,0.2857,0.0,0.0,0.0,0.1429,2,3,0
image_23555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
image_2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
image_23733,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.3333,1,1,1
image_23747,0.6667,0.4,0.5,0.5,0.3333,0.4,0.45,1,3,1
image_23791,0.4444,0.8,0.5714,0.1429,0.25,0.1818,0.3766,5,1,3
image_24096,0.3333,0.2,0.25,0.0,0.0,0.0,0.125,2,4,1
image_2445,0.5,0.4286,0.4615,0.5,0.5,0.5,0.4808,3,4,0
image_24663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0
image_24978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0
image_25123,0.125,0.0769,0.0952,0.0,0.0,0.0,0.0476,7,12,0
image_25545,0.75,0.3333,0.4615,1.0,0.2,0.3333,0.3974,1,6,0
image_25674,0.1429,0.1429,0.1429,0.0,0.0,0.0,0.0714,6,6,0
image_26052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
image_26675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
image_26935,0.3333,0.125,0.1818,0.0,0.0,0.0,0.0909,2,7,0
image_28422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
image_28431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0
image_28449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,0
image_28455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
image_28458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0
image_28581,0.25,0.0833,0.125,0.0,0.0,0.0,0.0625,3,11,1
image_29263,0.2727,0.3,0.2857,0.1429,0.1111,0.125,0.2054,8,7,1
image_29659,0.4286,0.4286,0.4286,0.25,0.3333,0.2857,0.3571,4,4,1
image_3132,0.0909,0.1111,0.1,0.0,0.0,0.0,0.05,10,8,0
image_3189,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.1666,2,2,0
image_3448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0
image_4253,0.3333,0.2,0.25,0.0,0.0,0.0,0.125,2,4,1
image_4410,0.1667,0.1667,0.1667,0.0,0.0,0.0,0.0833,5,5,1
image_4569,1.0,0.75,0.8571,1.0,1.0,1.0,0.9285,0,1,0
image_4696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,0
image_4810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11,0
image_5128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
image_5386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
image_5688,0.2,0.1667,0.1818,0.0,0.0,0.0,0.0909,8,10,1
image_5771,0.2857,0.6667,0.4,0.3333,0.5,0.4,0.4,5,1,0
image_6502,0.6667,0.2857,0.4,0.0,0.0,0.0,0.2,1,5,0
image_6526,1.0,0.4286,0.6,0.0,0.0,0.0,0.3,0,4,0
image_6633,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.1666,2,2,1
image_6909,0.375,0.25,0.3,0.0,0.0,0.0,0.15,5,9,1
image_6918,0.6667,0.6667,0.6667,0.0,0.0,0.0,0.3333,1,1,0
image_6925,0.6667,1.0,0.8,0.0,0.0,0.0,0.4,1,0,0
image_7563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0
image_7800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
image_7840,0.5,0.5714,0.5333,0.0,0.0,0.0,0.2666,4,3,1
image_8144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
image_8409,0.2727,0.3333,0.3,0.125,0.2,0.1538,0.2269,8,6,1
image_8478,0.3333,0.1,0.1538,0.0,0.0,0.0,0.0769,2,9,1
image_8525,1.0,0.75,0.8571,0.0,0.0,0.0,0.4285,0,1,0
image_8925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,0
image_8969,0.3333,0.25,0.2857,0.0,0.0,0.0,0.1429,4,6,1
image_9048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7,0
image_9406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,0
